"n","q","B2","s2","x.theta.scale","x.gamma","c.gamma","x.correct","c.correct","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4"
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,7000001,1.01761282284798,9.95178361321036,1.99591870470386,-0.017667281522948,0.93546631570301,10.0331280495042,2.09329947203015,0.00281524480357895,0.96101963500169,10.0042246628024,2.06115677353456,0.00489992299172839,0.937732664521418,10.0241278655802,2.09375861344676,0.0044720973437622
8000,0.8,10,1,0.5,1,2,0,1,40,40,5,7000001,1.01761282284798,9.95178361321036,1.99591870470386,-0.017667281522948,0.93546631570301,10.0331280495042,2.09329947203015,0.00281524480357895,2.01233554865427,8.03940053151405,0.908241745821687,0.243300853086175,0.946403976425854,9.97161132145417,2.09570873422367,0.0039162672093406
8000,0.8,10,1,0.5,1,2,1,0,40,40,5,7000001,1.01761282284798,9.95178361321036,1.99591870470386,-0.017667281522948,0.93546631570301,10.0331280495042,2.09329947203015,0.00281524480357895,0.96101963500169,10.0042246628024,2.06115677353456,0.00489992299172839,0.937366069217051,10.0254888455788,2.09306109158573,0.00456720976456069
8000,0.8,10,1,0.5,1,2,0,0,40,40,5,7000001,1.01761282284798,9.95178361321036,1.99591870470386,-0.017667281522948,0.93546631570301,10.0331280495042,2.09329947203015,0.00281524480357895,2.01233554865427,8.03940053151405,0.908241745821687,0.243300853086175,0.946824973957151,9.97046395948465,2.0960135280222,0.00386051457002204
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,7000002,1.01373222320285,10.0173866520795,1.96654470057882,-0.0128254928534927,1.04130543015212,10.0394656713291,1.93285941754231,0.0329207432857503,0.985108729947886,10.0831277617188,2.03390385791119,0.0447601301477115,1.0273426715113,10.0826147706121,1.94044584114293,0.0346745450189291
8000,0.8,10,1,0.5,1,2,0,1,40,40,5,7000002,1.01373222320285,10.0173866520795,1.96654470057882,-0.0128254928534927,1.04130543015212,10.0394656713291,1.93285941754231,0.0329207432857503,2.04258312737836,8.17859565098404,0.86235607363709,0.26422823813951,1.03690913774657,10.0320971632878,1.94053682374417,0.0336334021473028
8000,0.8,10,1,0.5,1,2,1,0,40,40,5,7000002,1.01373222320285,10.0173866520795,1.96654470057882,-0.0128254928534927,1.04130543015212,10.0394656713291,1.93285941754231,0.0329207432857503,0.985108729947886,10.0831277617188,2.03390385791119,0.0447601301477115,1.02677806394742,10.0824976242933,1.9407823816354,0.0345240568228366
8000,0.8,10,1,0.5,1,2,0,0,40,40,5,7000002,1.01373222320285,10.0173866520795,1.96654470057882,-0.0128254928534927,1.04130543015212,10.0394656713291,1.93285941754231,0.0329207432857503,2.04258312737836,8.17859565098404,0.86235607363709,0.26422823813951,1.03751538451376,10.0287751645577,1.94164884447696,0.0336253088621323
8000,0.8,10,1,0.5,1,2,1,1,40,40,5,7000003,1.01624169476445,9.9808056445141,1.98901858552223,-0.00440215406143494,1.00330516599354,9.93062087881504,2.03569296106145,0.0198644617094148,1.05322157087467,9.90556850886515,1.9645722715339,0.0160998110416378,0.995967309336309,9.96357817035049,2.03557399738028,0.0173367639281972
8000,0.8,10,1,0.5,1,2,0,1,40,40,5,7000003,1.01624169476445,9.9808056445141,1.98901858552223,-0.00440215406143494,1.00330516599354,9.93062087881504,2.03569296106145,0.0198644617094148,2.0546716711573,7.96181536618128,0.898973755669764,0.249585764404301,1.01611632755799,9.87152212084221,2.03430566039324,0.0203238895787578
