"n","q","B2","s2","x.theta.scale","x.gamma","c.gamma","mx","mc","my","seed","Bor.B1","Bor.B2","Bor.B3","Bor.B4","Bcc.B1","Bcc.B2","Bcc.B3","Bcc.B4","Bml.B1","Bml.B2","Bml.B3","Bml.B4","Bsp.B1","Bsp.B2","Bsp.B3","Bsp.B4"
8000,0.1,10,1,0.5,1,2,40,40,5,5000001,1.06954162243426,9.94606929025719,1.94622456761411,-0.00064796342977147,1.05680047878223,9.97752897460266,1.95412906735287,0.00802977260215096,1.05312453047612,9.98060776173031,1.95946565879459,0.00832622291459499,1.05675833784776,9.97759950756812,1.95416402131106,0.00803056451716725
8000,0.2,10,1,0.5,1,2,40,40,5,5000001,1.03662185880467,9.9705523667314,1.99359534845843,0.00685811701337951,1.05444445240437,9.94750257492219,1.97788506343493,0.0103283783572457,1.04877005366845,9.94932028084074,1.98572953828765,0.0160973518381032,1.05410092283323,9.94827925320055,1.97806302915497,0.0102943858604576
8000,0.3,10,1,0.5,1,2,40,40,5,5000001,1.00508710151035,10.0161422158477,2.00922725164424,0.0101714580297175,1.05514147473222,9.909572462149,1.98131595940099,0.0207305965116259,1.02906989482987,9.96801779531394,1.99670140693416,0.0182886318312553,1.05416851719876,9.91214287320959,1.98168804460581,0.0208935692043666
8000,0.4,10,1,0.5,1,2,40,40,5,5000001,1.01154185987986,10.0362753453695,1.97575940544556,0.0111320852626906,1.02441495448435,10.0275652580834,1.95044540339202,-0.0018886622961321,0.992304500552318,10.0986337739638,1.97490772029813,0.00322219922420424,1.02299341937305,10.0308253521643,1.95126823267106,-0.00157020222885195
8000,0.5,10,1,0.5,1,2,40,40,5,5000001,1.01928300019896,9.99904637719975,1.99741221957268,0.0120311376998396,0.975841049840326,10.1170206583267,2.01554433347875,0.0160011531838581,0.987583291511383,10.0974487549722,2.00865286712774,0.00888617369307392,0.976072261246443,10.1164827404579,2.01528641258514,0.0157041393004998
8000,0.6,10,1,0.5,1,2,40,40,5,5000001,1.05890826059389,9.9346079148633,1.97963231432213,0.0119708833681723,0.992876526683092,10.0382305457479,2.00612788721373,-0.0119294589494872,1.01904138990713,10.0283513489369,1.97819762132658,1.38206528603067e-05,0.991330623694035,10.0428751398518,2.00672749870243,-0.0121149705549158
8000,0.7,10,1,0.5,1,2,40,40,5,5000001,1.00619710201889,9.99028320907434,2.03113148843717,0.00997179575476843,1.0253111249534,9.84291640622529,2.07885464491065,0.0284765131237066,1.07982857998139,9.90387748308135,1.94146784202616,0.0346465804442523,1.01769785687653,9.87138496414136,2.08054993824268,0.0293539972336942
8000,0.8,10,1,0.5,1,2,40,40,5,5000001,1.00036342235962,10.0277246116666,2.01078173465757,0.00681289116293914,1.07478897431796,9.90820527932747,1.96056769742652,0.0170985797757305,1.13252356630866,9.87438085429539,1.85684098653316,0.0320504284742046,1.06216455083705,9.9616805735274,1.96236638892512,0.0142400240377643
8000,0.9,10,1,0.5,1,2,40,40,5,5000001,1.04583357695607,9.92811730517766,2.00776186859838,-0.00179648954624116,0.93563682343447,10.2119519549622,2.06686895391461,0.0290983093236521,1.09564156117942,9.83077876385514,1.9007276894934,0.033267243918716,0.966866190238207,10.1098394877872,2.04524570064033,0.0334258278823885
8000,0.1,10,1,0.5,1,2,40,40,5,5000002,0.971197709134823,9.99657067808181,2.02362530359506,0.00165529068004277,0.990123592574223,9.95192075162345,2.014557457156,0.00388606016925512,0.97280570645222,9.99059627387563,2.02383541942705,0.00236376755359801,0.990118028853287,9.95193085584562,2.01456117400279,0.00388829117091378
8000,0.2,10,1,0.5,1,2,40,40,5,5000002,1.01224529875217,9.94712564199638,2.00695359768806,-0.0064796172274027,1.03188592677684,9.90767522924289,1.99796115619904,-0.0126149139428589,1.02057171697488,9.93711592473489,2.00127475419534,-0.00945077314123174,1.03167881868697,9.90822137865444,1.99803635390893,-0.0126330842856092
8000,0.3,10,1,0.5,1,2,40,40,5,5000002,0.93736238863196,10.0759875383651,2.02024032338643,-0.00575027079018314,0.939195714222768,10.0878865286103,2.00883234124706,-0.000114518210415154,0.963842987704786,10.0356173892669,2.00152232155084,-0.0154404117816641,0.940113376877823,10.0849608793753,2.00870899238295,-4.46282103098423e-05
8000,0.4,10,1,0.5,1,2,40,40,5,5000002,1.00542090515211,9.9693531830837,1.99416503291915,-0.00739060240162991,0.976593838559976,9.99587590193233,2.02662342631069,0.00240557598890238,1.01886253058605,9.93394908421991,1.9898309137683,0.00169572608405753,0.977059947637622,9.99405112748211,2.026562926425,0.00258380094068324
